Frame ID,QR id,QR 2D,QR 3D
117,15,"(547, 73),(621, 69),(606, 211),(541, 200)","dist: 1.4915768425381528, yaw: -156.5632637280567, pitch: 72.58385798114402, roll: 25.00697029664077"
118,15,"(546, 74),(621, 70),(606, 211),(540, 199)","dist: 1.506692023067006, yaw: -157.0512291000524, pitch: 71.71103634124992, roll: 24.439758908231095"
119,15,"(547, 74),(622, 70),(607, 211),(541, 200)","dist: 1.5023822880064523, yaw: -157.5715893396142, pitch: 71.96841402093312, roll: 24.00748439862391"
120,15,"(549, 75),(623, 71),(608, 214),(542, 199)","dist: 1.4990310017357469, yaw: -154.66323443169182, pitch: 71.9706679062547, roll: 26.791926518855902"
121,15,"(549, 75),(624, 70),(609, 211),(543, 200)","dist: 1.5079407553460793, yaw: -158.31324704739868, pitch: 72.09508512201076, roll: 23.373499169470723"
122,15,"(550, 73),(625, 68),(609, 210),(543, 198)","dist: 1.502062977961335, yaw: -157.5180671368668, pitch: 72.11980892822615, roll: 24.487807218143942"
122,17,"(101, 101),(197, 85),(220, 152),(128, 183)","dist: 2.023949912402754, yaw: 152.27886583752814, pitch: -12.014079196708419, roll: -15.825316728098718"
123,15,"(550, 70),(625, 66),(609, 208),(543, 196)","dist: 1.4981717543739588, yaw: -156.24279800678406, pitch: 72.03815190764455, roll: 25.587345332687256"
123,17,"(100, 99),(196, 83),(219, 151),(129, 182)","dist: 2.0435847482632115, yaw: 154.5012915630084, pitch: -12.907934985986753, roll: -16.10295009180477"
124,15,"(550, 73),(626, 69),(609, 212),(543, 199)","dist: 1.4904941011583919, yaw: -156.45578942844367, pitch: 71.97348898534788, roll: 25.59085388549228"
125,15,"(551, 76),(627, 73),(611, 216),(544, 203)","dist: 1.4852555797514246, yaw: -156.2470998648736, pitch: 71.9337532383579, roll: 25.524947224316527"
126,15,"(547, 80),(631, 79),(616, 221),(540, 207)","dist: 1.4891008359117124, yaw: -159.58020089079, pitch: 67.8540101001161, roll: 21.53992584116882"
127,15,"(528, 87),(630, 88),(616, 228),(524, 214)","dist: 1.493240807286812, yaw: -164.72624014460703, pitch: 58.23421438483241, roll: 14.736637214961934"
128,15,"(518, 90),(629, 93),(616, 232),(512, 219)","dist: 1.485109626592319, yaw: -167.31539356059642, pitch: 51.694220298613416, roll: 11.94436357393182"
128,17,"(94, 113),(183, 93),(214, 163),(124, 197)","dist: 2.0845220905802413, yaw: 159.28145461346745, pitch: -14.327939319568367, roll: -18.832015126619634"
129,15,"(513, 90),(628, 93),(614, 232),(506, 218)","dist: 1.4872734304789703, yaw: -168.22634176339596, pitch: 48.532601553621355, roll: 11.28012350467432"
130,15,"(499, 89),(623, 91),(612, 229),(494, 219)","dist: 1.4813362470872542, yaw: -170.19040589174674, pitch: 40.95423754496436, roll: 7.9229448263559386"
